company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
UNIQUE GIFT SHOP LTD,13839962,Active,Private limited company,,2022-01-11,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
ONE1CONNECTION LTD,13840185,Active,Private limited company,,2022-01-11,01500 47910 66110 68100,71-75 Shelton Street Covent Garden London WC2H 9JQ
VERBIER LONDON LTD,13840189,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
STELLAR SOFTWORKS LTD,13840165,Active,Private limited company,,2022-01-11,62011 62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
AMALIAON LTD,13840906,Active,Private limited company,,2022-01-11,45190 45200 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
UMBRA TECHNOLOGIES LIMITED,13840905,Active,Private limited company,,2022-01-11,62020 70229 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
CEDRE CORE GROUP LTD,13841907,Active,Private limited company,,2022-01-11,70229 74909 78300 85320,71-75 Shelton Street Covent Garden London WC2H 9JQ
TBC & PARTNERS LIMITED,13842029,Active,Private limited company,,2022-01-11,64301 64910 64999 66300,71-75 Shelton Street Covent Garden London WC2H 9JQ
COMPROS INTL LTD,13842289,Active,Private limited company,,2022-01-11,68100 68202 68209 68320,71-75 Shelton Street Covent Garden London WC2H 9JQ
ELZAWE LTD,13839266,Active,Private limited company,,2022-01-10,64191 64205 64999 66300,71-75 Shelton Street Covent Garden London WC2H 9JQ
VINTIQUE SHOP LTD,13840678,Active,Private limited company,,2022-01-11,47770 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ZIRELIA LTD,13840626,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
EARTHLING HOME LTD,13840680,Active,Private limited company,,2022-01-11,46180 46410 47510 47789,71-75 Shelton Street Covent Garden London WC2H 9JQ
AMZ BLING LTD,13841430,Active,Private limited company,,2022-01-11,46520,71-75 Shelton Street Covent Garden London WC2H 9JQ
YANTRAO LTD,13841472,Active,Private limited company,,2022-01-11,47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
